"","X","jj","date","tmp","rain","humidity","insolation","market","volume","trade_price","year","month","area","output10a","output","total_indices","indices","X5humidity","X10humidity","y"
"261",691,105,2020-11-06,17,0,37.6,9.09,1,0.65,1.23,2020,11,76,5864,4455,100.09,111.13,65,4,1891.27105666156
"262",694,105,2020-11-09,8.3,0,28.5,13.85,1,1.8,3.47,2020,11,76,5864,4455,100.09,111.13,44,4,1933.18485523385
"263",695,105,2020-11-10,8.1,0,43.8,13.14,1,0.45,0.86,2020,11,76,5864,4455,100.09,111.13,57,4,1887.41721854305
"264",696,105,2020-11-11,10.3,0,46.4,12.63,1,1.04,1.99,2020,11,76,5864,4455,100.09,111.13,61,4,1920.3667953668
"265",697,105,2020-11-12,15.2,0,33.1,12.88,1,0.62,1.19,2020,11,76,5864,4455,100.09,111.13,68,4,1943.08943089431
"266",698,105,2020-11-13,14.5,0,50.3,11.58,1,0.24,0.45,2020,11,76,5864,4455,100.09,111.13,71,4,1911.76470588235
"267",701,105,2020-11-16,14.8,0,61.8,9.54,1,1.62,3.08,2020,11,76,5864,4455,100.09,111.13,74,4,1901.23456790124
"268",702,105,2020-11-17,15.5,0,76.8,8.96,1,0.61,1.13,2020,11,76,5864,4455,100.09,111.13,82,4,1844.26229508197
"269",703,105,2020-11-18,19,0,70.4,4.73,1,0.59,1.08,2020,11,76,5864,4455,100.09,111.13,99,7,1842.68707482993
"270",704,105,2020-11-19,19.9,7.7,60.4,3.19,1,0.97,1.76,2020,11,76,5864,4455,100.09,111.13,90,28,1813.01652892562
"271",705,105,2020-11-20,8.2,0,58.1,11.98,1,0.52,0.97,2020,11,76,5864,4455,100.09,111.13,75,22,1862.93436293436
"272",708,105,2020-11-23,6.7,0,42.9,12.1,1,2.24,4.23,2020,11,76,5864,4455,100.09,111.13,73,22,1892.3145665773
"273",709,105,2020-11-24,6.5,0,49,5.61,1,0.69,1.35,2020,11,76,5864,4455,100.09,111.13,74,21,1966.56976744186
"274",710,105,2020-11-25,8.3,0,39,11.52,1,0.39,0.76,2020,11,76,5864,4455,100.09,111.13,81,20,1945.87628865979
"275",711,105,2020-11-26,7.7,0,58.6,10,1,0.98,2.04,2020,11,76,5864,4455,100.09,111.13,87,20,2083.33333333333
"276",712,105,2020-11-27,7.3,0,49.4,5.85,1,0.63,1.27,2020,11,76,5864,4455,100.09,111.13,75,20,2033.6
"277",715,105,2020-11-30,3.6,0,33,11.63,1,2.38,4.97,2020,11,76,5864,4455,100.09,111.13,62,14,2090.16393442623
"278",716,105,2020-12-01,3.3,0,39.8,10.99,1,1,2.16,2020,12,76,5864,4455,100.33,113.89,62,12,2154.53639082752
"279",717,105,2020-12-02,4.7,0,44.8,6.34,1,0.33,0.61,2020,12,76,5864,4455,100.33,113.89,57,15,1845.34534534535
"280",718,105,2020-12-03,5,0,29.6,11.41,1,1.26,2.65,2020,12,76,5864,4455,100.33,113.89,52,15,2105.89171974522
"281",719,105,2020-12-04,3.6,0,30.8,11.13,1,0.44,0.94,2020,12,76,5864,4455,100.33,113.89,58,12,2116.25282167043
"282",722,105,2020-12-07,6,0,42.4,6.68,1,1.18,2.46,2020,12,76,5864,4455,100.33,113.89,63,15,2087.71186440678
"283",723,105,2020-12-08,2.4,0,33.8,10.1,1,0.88,1.86,2020,12,76,5864,4455,100.33,113.89,57,12,2108.39954597049
"284",724,105,2020-12-09,5.5,0,29.3,10.18,1,0.63,1.39,2020,12,76,5864,4455,100.33,113.89,67,9,2200
"285",725,105,2020-12-10,8,0,50.8,8.53,1,0.45,0.93,2020,12,76,5864,4455,100.33,113.89,74,11,2044.15011037528
"286",726,105,2020-12-11,7.5,0,47.4,7.22,1,0.84,1.74,2020,12,76,5864,4455,100.33,113.89,84,14,2071.42857142857
"287",729,105,2020-12-14,-3.8,0,32.4,11.39,1,1.98,4.21,2020,12,76,5864,4455,100.33,113.89,52,13,2122.03731719617
"288",730,105,2020-12-15,-5.1,0,24.9,11.46,1,0.59,1.29,2020,12,76,5864,4455,100.33,113.89,44,11,2200
"289",731,105,2020-12-16,-4.1,0,21,11.42,1,0.54,1.13,2020,12,76,5864,4455,100.33,113.89,50,7,2089.31860036832
"290",732,105,2020-12-17,-0.9,0,27.3,11.2,1,1.01,2.14,2020,12,76,5864,4455,100.33,113.89,55,4,2114.51135241856
"291",733,105,2020-12-18,2.2,0,44.6,7.19,1,0.29,0.63,2020,12,76,5864,4455,100.33,113.89,53,5,2186.20689655172
"292",736,105,2020-12-21,2.8,0,34.1,10.9,1,0.89,1.89,2020,12,76,5864,4455,100.33,113.89,69,3,2132.20338983051
"293",737,105,2020-12-22,4.8,0,46.8,9.58,1,0.5,1.05,2020,12,76,5864,4455,100.33,113.89,85,4,2084.4930417495
"294",738,105,2020-12-23,7.9,0,49.4,7.6,1,0.68,1.46,2020,12,76,5864,4455,100.33,113.89,91,4,2145.58823529412
